period_code,period_label,period_type,geography_code,geography_label,observation,measure,unit
2018-03-14,2018-03-14,day,K03000001,Great Britain,2.08,SAP actual day,p/kWh
2018-03-15,2018-03-15,day,K03000001,Great Britain,2.256,SAP actual day,p/kWh
2018-03-16,2018-03-16,day,K03000001,Great Britain,1.874,SAP actual day,p/kWh
2018-03-17,2018-03-17,day,K03000001,Great Britain,1.888,SAP actual day,p/kWh
2018-03-18,2018-03-18,day,K03000001,Great Britain,2.2,SAP actual day,p/kWh
2018-03-19,2018-03-19,day,K03000001,Great Britain,1.97,SAP actual day,p/kWh
2018-03-20,2018-03-20,day,K03000001,Great Britain,1.909,SAP actual day,p/kWh
2018-03-21,2018-03-21,day,K03000001,Great Britain,1.863,SAP actual day,p/kWh
2018-03-22,2018-03-22,day,K03000001,Great Britain,1.855,SAP actual day,p/kWh
2018-03-23,2018-03-23,day,K03000001,Great Britain,1.755,SAP actual day,p/kWh
2018-03-24,2018-03-24,day,K03000001,Great Britain,1.791,SAP actual day,p/kWh
2018-03-25,2018-03-25,day,K03000001,Great Britain,1.688,SAP actual day,p/kWh
2018-03-26,2018-03-26,day,K03000001,Great Britain,1.636,SAP actual day,p/kWh
2018-03-27,2018-03-27,day,K03000001,Great Britain,1.715,SAP actual day,p/kWh
2018-03-28,2018-03-28,day,K03000001,Great Britain,1.661,SAP actual day,p/kWh
2018-03-29,2018-03-29,day,K03000001,Great Britain,1.765,SAP actual day,p/kWh
2018-03-30,2018-03-30,day,K03000001,Great Britain,1.662,SAP actual day,p/kWh
2018-03-31,2018-03-31,day,K03000001,Great Britain,1.674,SAP actual day,p/kWh
2018-04-01,2018-04-01,day,K03000001,Great Britain,1.811,SAP actual day,p/kWh
2018-04-02,2018-04-02,day,K03000001,Great Britain,1.796,SAP actual day,p/kWh
2018-04-03,2018-04-03,day,K03000001,Great Britain,1.638,SAP actual day,p/kWh
2018-04-04,2018-04-04,day,K03000001,Great Britain,1.679,SAP actual day,p/kWh
2018-04-05,2018-04-05,day,K03000001,Great Britain,1.688,SAP actual day,p/kWh
2018-04-06,2018-04-06,day,K03000001,Great Britain,1.663,SAP actual day,p/kWh
2018-04-07,2018-04-07,day,K03000001,Great Britain,1.706,SAP actual day,p/kWh
2018-04-08,2018-04-08,day,K03000001,Great Britain,1.688,SAP actual day,p/kWh
2018-04-09,2018-04-09,day,K03000001,Great Britain,1.772,SAP actual day,p/kWh
2018-04-10,2018-04-10,day,K03000001,Great Britain,1.834,SAP actual day,p/kWh
2018-04-11,2018-04-11,day,K03000001,Great Britain,1.86,SAP actual day,p/kWh
2018-04-12,2018-04-12,day,K03000001,Great Britain,1.914,SAP actual day,p/kWh
2018-04-13,2018-04-13,day,K03000001,Great Britain,1.875,SAP actual day,p/kWh
2018-04-14,2018-04-14,day,K03000001,Great Britain,1.685,SAP actual day,p/kWh
2018-04-15,2018-04-15,day,K03000001,Great Britain,1.722,SAP actual day,p/kWh
2018-04-16,2018-04-16,day,K03000001,Great Britain,1.713,SAP actual day,p/kWh
2018-04-17,2018-04-17,day,K03000001,Great Britain,1.728,SAP actual day,p/kWh
2018-04-18,2018-04-18,day,K03000001,Great Britain,1.657,SAP actual day,p/kWh
2018-04-19,2018-04-19,day,K03000001,Great Britain,1.763,SAP actual day,p/kWh
2018-04-20,2018-04-20,day,K03000001,Great Britain,1.739,SAP actual day,p/kWh
2018-04-21,2018-04-21,day,K03000001,Great Britain,1.677,SAP actual day,p/kWh
2018-04-22,2018-04-22,day,K03000001,Great Britain,1.673,SAP actual day,p/kWh
2018-04-23,2018-04-23,day,K03000001,Great Britain,1.718,SAP actual day,p/kWh
2018-04-24,2018-04-24,day,K03000001,Great Britain,1.744,SAP actual day,p/kWh
2018-04-25,2018-04-25,day,K03000001,Great Britain,1.73,SAP actual day,p/kWh
2018-04-26,2018-04-26,day,K03000001,Great Britain,1.778,SAP actual day,p/kWh
2018-04-27,2018-04-27,day,K03000001,Great Britain,1.84,SAP actual day,p/kWh
2018-04-28,2018-04-28,day,K03000001,Great Britain,1.849,SAP actual day,p/kWh
